"filename", "language", "JSON with Comments", "JSON", "JavaScript", "PostCSS", "Markdown", "Properties", "HTML", "XML", "SCSS", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\a603\work\intelligent_traffic\frontend\src\components\Centre.js", "JavaScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 20, 7, 37
"c:\Users\a603\work\intelligent_traffic\frontend\src\components\CruiserMain.js", "JavaScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"c:\Users\a603\work\intelligent_traffic\frontend\src\components\DigitalTwin.js", "JavaScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 2, 22
"c:\Users\a603\work\intelligent_traffic\frontend\src\components\FirstHeader.js", "JavaScript", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 2, 23
"c:\Users\a603\work\intelligent_traffic\frontend\src\components\Header.js", "JavaScript", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 18, 1, 38
"c:\Users\a603\work\intelligent_traffic\frontend\src\components\JunctionMain.js", "JavaScript", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 3, 2, 27
"c:\Users\a603\work\intelligent_traffic\frontend\src\components\Nav.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 5, 39
"c:\Users\a603\work\intelligent_traffic\frontend\src\components\PlanMain.js", "JavaScript", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 3, 4, 40
"c:\Users\a603\work\intelligent_traffic\frontend\src\components\bottoms\CruiserSetting\CruiserSetting.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 166, 4, 14, 184
"c:\Users\a603\work\intelligent_traffic\frontend\src\components\bottoms\CruiserSetting\index.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 149, 0, 2, 23, 174
"c:\Users\a603\work\intelligent_traffic\frontend\src\components\bottoms\FlowSpeed\FlowSpeed.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 171, 3, 9, 183
"c:\Users\a603\work\intelligent_traffic\frontend\src\components\bottoms\FlowSpeed\index.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 55, 0, 4, 7, 66
"c:\Users\a603\work\intelligent_traffic\frontend\src\components\bottoms\GreenWave\GreenWave.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 177, 4, 14, 195
"c:\Users\a603\work\intelligent_traffic\frontend\src\components\bottoms\GreenWave\index.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 154, 0, 2, 23, 179
"c:\Users\a603\work\intelligent_traffic\frontend\src\components\bottoms\JunctionGreenFLow\JunctionGreenFlow.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 239, 9, 20, 268
"c:\Users\a603\work\intelligent_traffic\frontend\src\components\bottoms\JunctionGreenFLow\index.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 78, 0, 0, 8, 86
"c:\Users\a603\work\intelligent_traffic\frontend\src\components\bottoms\JunctionOpt\JunctionOpt.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 1, 5, 60
"c:\Users\a603\work\intelligent_traffic\frontend\src\components\bottoms\JunctionOpt\index.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 73, 0, 1, 3, 77
"c:\Users\a603\work\intelligent_traffic\frontend\src\components\bottoms\scrollAlert\ScrollAlert.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 162, 3, 17, 182
"c:\Users\a603\work\intelligent_traffic\frontend\src\components\bottoms\scrollAlert\index.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 125, 0, 0, 6, 131
"c:\Users\a603\work\intelligent_traffic\frontend\src\components\city.js", "JavaScript", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 2, 23
"c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\TextArea\TextArea.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 178, 21, 29, 228
"c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\TextArea\index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 2, 51
"c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\Weather\Weather.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 4, 47
"c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\Weather\index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 21, 2, 56
"c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\cruiser-view\Map\Map.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 63, 6, 12, 81
"c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\cruiser-view\Map\Map.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 1, 7
"c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\junction-view\Line-container\index.js", "JavaScript", 0, 0, 113, 0, 0, 0, 0, 0, 0, 0, 4, 7, 124
"c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\junction-view\Pedestrain-optimize\index.js", "JavaScript", 0, 0, 135, 0, 0, 0, 0, 0, 0, 0, 17, 5, 157
"c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\junction-view\Pedestrain-optimize\index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 94, 0, 0, 3, 97
"c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\junction-view\Pie-container\index.js", "JavaScript", 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 2, 59
"c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\junction-view\Strategy-Compare\index.js", "JavaScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 2, 20
"c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\junction-view\Strategy-Compare\strategy.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 1, 1, 34
"c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\junction-view\Traffic-Flow\index.js", "JavaScript", 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 2, 45
"c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\junction-view\Traffic-Overview\JunctionOverview.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 0, 10, 57
"c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\junction-view\Traffic-Overview\index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 85, 0, 1, 10, 96
"c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\junction-view\newStyle\BigMap.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 212, 43, 17, 272
"c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\junction-view\newStyle\Chat.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 155, 11, 25, 191
"c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\junction-view\newStyle\ClickOptimise.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 141, 6, 4, 151
"c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\junction-view\newStyle\ControlStrategy.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 63, 3, 8, 74
"c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\junction-view\newStyle\Evaluation.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 1, 9, 65
"c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\junction-view\newStyle\JunctionCapture.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 15, 11, 91
"c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\junction-view\newStyle\JunctionInfo.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 1, 5, 58
"c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\junction-view\newStyle\LeftSide.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 6, 20
"c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\junction-view\newStyle\Light.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 2, 8, 43
"c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\junction-view\newStyle\LightControl.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 71, 20, 5, 96
"c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\junction-view\newStyle\ResultTrack.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 83, 1, 7, 91
"c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\junction-view\newStyle\RightSide.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 4, 3, 31
"c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\junction-view\newStyle\TimeProgress.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 70, 0, 3, 73
"c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\junction-view\newStyle\css\chatComponent.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 75, 0, 1, 12, 88
"c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\junction-view\newStyle\css\clickOptimise.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 45, 0, 1, 2, 48
"c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\junction-view\newStyle\css\controlStrategy.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 98, 0, 0, 1, 99
"c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\junction-view\newStyle\css\evaluation.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 122, 0, 19, 5, 146
"c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\junction-view\newStyle\css\junctionCapture.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 70, 0, 8, 3, 81
"c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\junction-view\newStyle\css\junctionInfo.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 66, 0, 0, 1, 67
"c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\junction-view\newStyle\css\leftSide.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 1, 1, 13
"c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\junction-view\newStyle\css\light.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 1, 19
"c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\junction-view\newStyle\css\lightControl.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 106, 0, 34, 2, 142
"c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\junction-view\newStyle\css\map.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 1, 10
"c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\junction-view\newStyle\css\resultTrack.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 140, 0, 0, 4, 144
"c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\junction-view\newStyle\css\rightSide.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 1, 13
"c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\junction-view\newStyle\css\timeProgress.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 1, 52
"c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\junction-view\sidebar-left\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 2, 6, 24
"c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\junction-view\sidebar-left\style.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 224, 0, 4, 13, 241
"c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\junction-view\sidebar-right\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 242, 13, 34, 289
"c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\junction-view\sidebar-right\junction\JunctionControl.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 2, 25
"c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\junction-view\sidebar-right\junction\junction.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 1, 33
"c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\junction-view\sidebar-right\lightControl.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 284, 0, 109, 17, 410
"c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\junction-view\sidebar-right\style.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 349, 0, 6, 19, 374
"c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\layout\city\LeftSide.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 1, 15
"c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\layout\city\RightSide.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 2, 14
"c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\layout\city\css\even.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 69, 0, 5, 2, 76
"c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\layout\city\css\leftside.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 1, 1, 15
"c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\layout\city\css\rightside.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 1, 13
"c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\layout\city\css\specialTarget.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 1, 9
"c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\layout\city\css\speedGuage.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 1, 28
"c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\layout\city\css\trafficVolume.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 45, 0, 1, 2, 48
"c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\layout\city\css\violationStatistic.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 1, 9
"c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\layout\city\even\Even.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 72, 4, 5, 81
